H,R,T
disease-0011,activate,gene-08162
disease-0011,activate,gene-19088
disease-0011,change,gene-03757
disease-0011,change,small_molecule-06468
disease-0011,change,small_molecule-36254
disease-0011,develop,phenotype-13545
disease-0011,develop,phenotype-13548
disease-0011,develop,small_molecule-36254
disease-0011,encode,gene-03757
disease-0011,encode,gene-15902
disease-0011,feature,phenotype-09156
disease-0011,feature,phenotype-13545
disease-0011,feature,phenotype-13548
disease-0011,mutate,phenotype-12671
disease-0011,patholog,gene-03483
disease-0011,reduce,gene-03217
disease-0013,increase,gene-01819
disease-0096,associate,disease-2005
disease-0121,contain,gene-05062
disease-0121,expression,gene-03871
disease-0121,expression,gene-06213
disease-0159,associate,phenotype-13040
disease-0168,feature,phenotype-08093
disease-0177,treat,phenotype-09983
disease-0181,expression,gene-01565
disease-0181,have,gene-00851
disease-0181,inhibit,gene-12081
disease-0181,reduce,phenotype-09983
disease-0181,risk,gene-06720
disease-0202,expression,phenotype-06984
disease-0202,marker,phenotype-06984
disease-0207,risk,phenotype-06503
disease-0209,associate,disease-2005
disease-0209,risk,disease-2005
disease-0210,affect,disease-4933
disease-0259,detect,phenotype-13648
disease-0259,inhibit,gene-01507
disease-0259,maintain,gene-03627
disease-0270,act,drug-09358
disease-0270,act,gene-05298
disease-0270,act,small_molecule-29023
disease-0270,activate,gene-04542
disease-0270,activate,small_molecule-06845
disease-0270,affect,gene-05627
disease-0270,affect,gene-06442
disease-0270,affect,gene-16193
disease-0270,affect,phenotype-12688
disease-0270,affect,small_molecule-06275
disease-0270,affect,small_molecule-16674
disease-0270,analyz,gene-04551
disease-0270,associate,disease-2005
disease-0270,associate,drug-00308
disease-0270,associate,drug-10400
disease-0270,associate,gene-00176
disease-0270,associate,gene-00553
disease-0270,associate,gene-01664
disease-0270,associate,gene-01681
disease-0270,associate,gene-03507
disease-0270,associate,gene-03627
disease-0270,associate,gene-03696
disease-0270,associate,gene-04174
disease-0270,associate,gene-05191
disease-0270,associate,gene-05352
disease-0270,associate,gene-11167
disease-0270,associate,gene-16193
disease-0270,associate,phenotype-13285
disease-0270,associate,protein-03222
