H,R,T
disease-0002,associate,hpo-13610
disease-0002,cause,hpo-13631
disease-0050,risk,hpo-08856
disease-0059,demonstr,small_molecule-03166
disease-0059,demonstr,small_molecule-04812
disease-0059,feature,small_molecule-28869
disease-0059,interact,small_molecule-28869
disease-0121,consist,small_molecule-12791
disease-0121,demonstr,hpo-13286
disease-0121,demonstr,small_molecule-15375
disease-0121,identifi,drug-04295
disease-0121,show,gene-03243
disease-0121,show,hpo-00106
disease-0159,affect,disease-1472
disease-0192,gene,hpo-04112
disease-0192,gene,hpo-13073
disease-0192,gene,hpo-13074
disease-0270,associate,protein-03338
disease-0270,increase,small_molecule-07699
disease-0270,show,small_molecule-06616
disease-0271,associate,drug-09798
disease-0271,associate,gene-00190
disease-0271,change,small_molecule-03166
disease-0271,risk,hpo-04562
disease-0279,associate,small_molecule-08654
disease-0279,observe,hpo-12857
disease-0308,affect,gene-00725
disease-0308,affect,hpo-04152
disease-0406,cause,hpo-03858
disease-0406,cause,hpo-12857
disease-0406,detect,hpo-03858
disease-0484,affect,hpo-04112
disease-0484,affect,hpo-13303
disease-0484,associate,disease-4020
disease-0484,associate,gene-00132
disease-0484,associate,gene-03981
disease-0484,associate,gene-04316
disease-0484,associate,gene-08645
disease-0484,associate,gene-27622
disease-0484,associate,hpo-04112
disease-0484,associate,hpo-04115
disease-0484,associate,hpo-05244
disease-0484,associate,protein-03537
disease-0484,cause,gene-00647
disease-0484,cause,hpo-03925
disease-0484,cause,hpo-04112
disease-0484,change,hpo-04141
disease-0484,detect,hpo-04112
disease-0484,develop,small_molecule-17169
disease-0484,evalu,hpo-13303
disease-0484,exist,hpo-09091
disease-0484,increase,gene-03615
disease-0484,increase,gene-27622
disease-0484,increase,hpo-04112
disease-0484,reduce,hpo-04141
disease-0484,reduce,hpo-13073
disease-0484,risk,drug-04311
disease-0484,risk,gene-07309
disease-0484,risk,gene-27622
disease-0484,risk,hpo-13059
disease-0484,risk,small_molecule-17169
disease-0484,serve,gene-04080
disease-0484,serve,gene-04467
disease-0484,serve,gene-04468
disease-0484,serve,gene-05276
disease-0655,cause,hpo-04135
disease-0655,cause,hpo-04144
disease-0655,cause,hpo-13100
disease-0655,cause,hpo-13303
disease-0655,cause,hpo-13528
disease-0664,affect,gene-03181
disease-0664,cause,gene-03181
disease-0664,cause,small_molecule-11591
disease-0664,show,small_molecule-15376
disease-0801,associate,small_molecule-15375
disease-0801,focus,small_molecule-15375
disease-0801,focus,small_molecule-15376
disease-0802,associate,hpo-13293
disease-0802,cause,hpo-13494
disease-0808,feature,hpo-04112
disease-0817,affect,hpo-04112
disease-0817,associate,gene-03181
disease-0817,associate,gene-05934
disease-0817,associate,hpo-12648
disease-0817,associate,small_molecule-04643
disease-0817,associate,small_molecule-51485
disease-0817,cause,hpo-04112
disease-0817,detect,hpo-05246
disease-0817,exist,gene-03243
disease-0817,feature,gene-03243
disease-0817,feature,gene-21157
disease-0817,feature,hpo-04112
